页码,页面标题,相对路径,用途/布局,状态,存在,SHA-256
17,两组 gm 均下降约 60%，但 Vth 与 SS 的退化幅度不同,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_16.png,legacy,主选,True,7c2d5ea07b6a583124481d9eec154f125b33fbd3c61847ce7fb37999b5d880d3
18,S 组转移曲线随剂量稳定负移，三只器件保持高度一致,03_实验结果/transfer_semilog_S.png,two_images,主选,True,6fe00d180d7655e7b9f854d56916b29d6f0d44db627982f68f571aa264d20654
18,S 组转移曲线随剂量稳定负移，三只器件保持高度一致,03_实验结果/transfer_linear_S.png,two_images,主选,True,4c0ad0c37ad35b35c4d1284842fa6480c98df7b387893c74bcced9f7f0fd6082
20,T 组阈值负移接近 10 V，亚阈区在中高剂量快速恶化,03_实验结果/transfer_semilog_T.png,two_images,主选,True,02ff90011bbfb19e7204c71cad56e35aaa9885d89e2cb51007f0aaae660bfaa9
20,T 组阈值负移接近 10 V，亚阈区在中高剂量快速恶化,03_实验结果/transfer_linear_T.png,two_images,主选,True,77569daf922408e71f04d6e5c1841dc556a1c97dbff372c3d44df839a873fb4d
22,两组 gm 均下降约 60%，开启能力衰减是共同退化维度,03_实验结果/gm_change.png,image_right,主选,True,98e74e3f7b08475af3d3ef83b64e24f9545e046f876c72a49931567bc4e9d9cb
23,T 组 SS 增量约为 S 组的 10.8 倍，亚阈区差异最显著,03_实验结果/subthreshold_swing.png,image_right,主选,True,b9f3e50cf1c75143d615ecfcfcec58fed8204526800795789a7f27ec4bbaa3da
24,SGT 阈值负移更小，Trench 在 20 krad 后平均 Vth 已转为负值,03_实验结果/threshold_shift.png,two_images,主选,True,c21f61f7abc14a715b1007c91e8f8d88a0b9d98d11c4ed0d905b14294b904967
24,SGT 阈值负移更小，Trench 在 20 krad 后平均 Vth 已转为负值,03_实验结果/threshold_voltage.png,two_images,主选,True,b2b7dc1090ba0aeef84e74810ac657d706377dd9f2817c080416c17236176953
25,本批结果提示 SGT 的电极与氧化层布局提高了转移特性稳定性,02_背景与结构/T.png,fact_hypothesis,主选,True,376de3cacee15909f16b0d46f7545400aef9f093475368246a01cbd92a99d66d
25,本批结果提示 SGT 的电极与氧化层布局提高了转移特性稳定性,02_背景与结构/S.png,fact_hypothesis,主选,True,d0c9c79bad2edf7cbd744c8f821920dc25d61fcef862a8c2e015177b8f8a4aee
27,六只器件的输出响应呈现明显组间差异与非单调细节,03_实验结果/可编辑图表/output_six_device_gallery.png,full_image,主选,True,6685beaf9d4d3f9ec13c737fd827a1c29742e4d2e3f550eaebf9ced637e9335c
28,S1：60 krad 的 30 V 漏电增幅为 1749%，高压代理降至 36 V,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_19.png,legacy,主选,True,1e032192fecc93d7229de78e3f31e62f08fef36e075bc3a814547b67bf03342d
29,S2：三只 S 器件中 30 V 漏电相对增幅最大,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_20.png,legacy,主选,True,49debd8c89f8c040436d443b28c601f26727e0daae67d7eba8f3e9540d6d8405
30,S3：相对增幅较低，但高压代理同样降至约 35 V,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_21.png,legacy,主选,True,29c25f642c374eff1509be777fce3d0aea9cb192ccc9951151b2552a71a589a3
31,T1：低压漏电仅小幅增加，高压代理保持在 108 V,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_22.png,legacy,主选,True,3b780f7abf8cef869b95702dc198ecf4675a8bcdd96be09b7f167c72f4cf1aa5
32,T2：30 V 漏电增幅为 58.9%，高压代理为 109 V,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_23.png,legacy,主选,True,c4e7c728e9c5c6d3ae4665bdc1131853de6d47b4b7a6098efd72132ba0182fe2
33,T3：三只 T 器件的 60 krad 输出指标集中在同一区间,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_24.png,legacy,主选,True,b2a5fbce6481c9907ba6327d473700eade0e24e00b374268d339f08401f962b2
34,S 组首扫尖峰在复扫中消失，表现出扫描历史相关响应,03_实验结果/output_semilog_S.png,image_right,主选,True,4cd8f1dfee27b87b0d17eeb8f0387e1cad0e7ec54d627eb8a46e073aff4c54a8
35,S/T 输出指标给出相反的高压代理变化方向,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_25.png,legacy,主选,True,6bc49f75b2a31ca139e26f22b51cf41ecac15f6dc0e9606acbf34a01f48b1569
36,13 条 S 组复扫的 30 V 漏电全部降低 70.65%–96.19%,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_26.png,legacy,主选,True,e26e6837c9833eb699728f3ab8eb9e13e5faadae506ccdf50083c8256af2d221
37,S3 60 krad 的恢复覆盖较宽电压范围，而非单点变化,03_实验结果/S_T_VDMOS_TID_完整成果展示版_讲稿版_27.png,legacy,主选,True,63af9e6f7b36dacab5d10ad25185b4faaf8c30d9a34adabcf553c3c1f3440e64
39,SGT 与 Trench 的输出响应方向相反，结构敏感区并不相同,03_实验结果/output_semilog_S.png,two_images,主选,True,4cd8f1dfee27b87b0d17eeb8f0387e1cad0e7ec54d627eb8a46e073aff4c54a8
39,SGT 与 Trench 的输出响应方向相反，结构敏感区并不相同,03_实验结果/output_semilog_T.png,two_images,主选,True,f4c418a8353a29218265333247c3237f20b375edb00fd8592e6c30728d4c5317
40,SGT 的厚氧化层与屏蔽电极可能增强辐照电荷对漂移区电场的影响,02_背景与结构/S.png,fact_hypothesis,主选,True,d0c9c79bad2edf7cbd744c8f821920dc25d61fcef862a8c2e015177b8f8a4aee
40,SGT 的厚氧化层与屏蔽电极可能增强辐照电荷对漂移区电场的影响,02_背景与结构/T.png,fact_hypothesis,主选,True,376de3cacee15909f16b0d46f7545400aef9f093475368246a01cbd92a99d66d
41,T 器件结构、网格和基础参数固定，剂量只改变陷阱参数,04_T器件仿真/simulation/structure_mesh.png,image_left,主选,True,a61acb7b154516f381b70b56ee0e4df770b5f6154139114b48d8a1fbcc5691c5
42,低参数 Not/Nit 剂量函数将七个剂量点映射到同一模型,04_T器件仿真/dose_trap_mapping.svg,image_right,主选,True,acd77655a09bd156787062e47f1ce13c3d14f63f481551951fd9110de38a0de8
44,T 组七剂量转移仿真复现阈值负移主趋势,04_T器件仿真/comparison/comparison_transfer_semilog_T.png,full_image,主选,True,585c738d6f9a377b8d0dca53e0fc3a66514bca9b9e7fa98994d2f44834fa4e71
45,T 模型对 ΔVth 与 gm 达到稳定的范围内定量一致性,04_T器件仿真/t_simulation_metric_compare.svg,image_right,主选,True,c5db7cbe0c0aebb22489d3b67055962ac4ac361b138e3db26ce576198615d4dc
47,无雪崩预击穿输出只能用于 30 V 内的限定趋势比较,04_T器件仿真/comparison/comparison_output_semilog_T.png,image_right,主选,True,f0642d72ac5cedf8fb1799e26b8ef6c2e0fe2b5b7405907fa399dfbb6a94bd6b
48,实验与 SDevice 曲线叠加保留离散、缺段和异常,04_T器件仿真/comparison/comparison_id30_T.png,image_right,主选,True,81ba9b78c6c58e6717671e392867cef96f6ef8cbaf7b9762592e2cc91d332677
49,高压求解在约 30 V 后显著变慢，失败尝试构成模型边界,04_T器件仿真/comparison/comparison_high_voltage_context_T.png,image_left,主选,True,e028e7389e4ad0cc7515b0be998694d4b4b5948067fec9d3b6279c77f5013d38
51,终态电场图支持空间形态比较，但不能单独证明 BV 不变,04_T器件仿真/simulation/electric_field_0krad.png,two_images,主选,True,c79a4812566bb327c4255d91320c6c2003dda2f9c301ac538ea4852ceb234f2a
51,终态电场图支持空间形态比较，但不能单独证明 BV 不变,04_T器件仿真/simulation/electric_field_60krad.png,two_images,主选,True,0fb195488e3a47472a9f4dea11b412fb8acee1825666a65f9cab8b78c2d1387f
52,T 输出实验与仿真高场形态只形成定性对应,03_实验结果/output_semilog_T.png,two_images,主选,True,f4c418a8353a29218265333247c3237f20b375edb00fd8592e6c30728d4c5317
52,T 输出实验与仿真高场形态只形成定性对应,04_T器件仿真/simulation/electric_field_60krad.png,two_images,主选,True,0fb195488e3a47472a9f4dea11b412fb8acee1825666a65f9cab8b78c2d1387f
54,S 型七剂量转移曲线已完成实验—仿真同图比较,05_S器件仿真/七剂量转移/figures/transfer_semilog.svg,two_images,主选,True,f39ac8a53e331e9990ca5e02eb5dc5454e64b11ed4ade4e212d12dc855f031b1
54,S 型七剂量转移曲线已完成实验—仿真同图比较,05_S器件仿真/七剂量转移/figures/transfer_linear.svg,two_images,主选,True,bfa0318a77c3eaf0a905d751d5df6ad59032f809613d58b532c54c9f04c9e5ae
55,S 模型能描述 gm 下降，但高剂量 Vth 负移仍明显不足,05_S器件仿真/七剂量转移/figures/vth_vs_dose.svg,two_images,主选,True,dc9dd23708a23af13472ca4bd704923f73397136691a2726365f6355dc6f7772
55,S 模型能描述 gm 下降，但高剂量 Vth 负移仍明显不足,05_S器件仿真/七剂量转移/figures/gm_vs_dose.svg,two_images,主选,True,02c84235f76bb8d6405248f0e3a226d22834af60a3545584d82c813b08e2cea1
56,严格 SS 算法下仅 20 krad 仿真曲线具备有效比较窗口,05_S器件仿真/七剂量转移/figures/ss_vs_dose.svg,image_right,主选,True,18ea6584ab2872548cbea65eb9d962512caefd83b9d1a1a12bd679ee80fa6b32
57,S 型低漏压终点的局部电场峰值仅变化约 0.18%,05_S器件仿真/低压电场/figures/field_x_cutline_overlay.svg,two_images,主选,True,b78ee27fe26ddb44f603fb595eb132bcfa6888b13a9c9929fa56bf6fdbb6be32
57,S 型低漏压终点的局部电场峰值仅变化约 0.18%,05_S器件仿真/低压电场/figures/field_peak_vs_dose.svg,two_images,主选,True,eac10c56212cf3058a17ad948c9d7d171c9af35274ab38165ea066f36dce7b15
59,S 型仿真已形成真实证据链，但模型验证仍处于迭代阶段,05_S器件仿真/七剂量转移/figures/svisual_transfer_semilog_0to60K_clean.png,supported_limited,主选,True,e7900f01917ea50d6668e72b0eb75fb137c72779a55dfd9dc560f8432fa869ae
68,真实虚拟机工程与 AI 操作记录展示了持续迭代过程,06_AI辅助流程/AI操作中图2.png,three_images,主选,True,6182bee398303221ff321f1ea13ae4a7162e0ccf83b829ba50a31291fe0b38cd
68,真实虚拟机工程与 AI 操作记录展示了持续迭代过程,06_AI辅助流程/AI操作中图像1.png,three_images,主选,True,b086e8ed0ecfc799a23d3c4278165bc977b5bd24afa14c47b10352334984a32f
68,真实虚拟机工程与 AI 操作记录展示了持续迭代过程,06_AI辅助流程/虚拟机工程.png,three_images,主选,True,07d5cc05a247a63a45cc3b455b0bf1dfdde8fae99fd3d73faec020a77e5c065e
